Angles	physical
Incidence	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	60	60	60	60	60	60	60	60
Emergence	20	40	60	70	20	40	60	70	0	20	40	60	70	20	40	60	70	0	20	40	70	20	40	60	70
Azimuth  	0	0	0	0	180	180	180	180	0	0	0	0	0	180	180	180	180	0	0	0	0	180	180	180	180
wavelength_nm	Refl_NH4-Jarosite_i0e20a0	Err_NH4-Jarosite_i0e20a0	Refl_NH4-Jarosite_i0e40a0	Err_NH4-Jarosite_i0e40a0	Refl_NH4-Jarosite_i0e60a0	Err_NH4-Jarosite_i0e60a0	Refl_NH4-Jarosite_i0e70a0	Err_NH4-Jarosite_i0e70a0	Refl_NH4-Jarosite_i0e20a180	Err_NH4-Jarosite_i0e20a180	Refl_NH4-Jarosite_i0e40a180	Err_NH4-Jarosite_i0e40a180	Refl_NH4-Jarosite_i0e60a180	Err_NH4-Jarosite_i0e60a180	Refl_NH4-Jarosite_i0e70a180	Err_NH4-Jarosite_i0e70a180	Refl_NH4-Jarosite_i30e0a0	Err_NH4-Jarosite_i30e0a0	Refl_NH4-Jarosite_i30e20a0	Err_NH4-Jarosite_i30e20a0	Refl_NH4-Jarosite_i30e40a0	Err_NH4-Jarosite_i30e40a0	Refl_NH4-Jarosite_i30e60a0	Err_NH4-Jarosite_i30e60a0	Refl_NH4-Jarosite_i30e70a0	Err_NH4-Jarosite_i30e70a0	Refl_NH4-Jarosite_i30e20a180	Err_NH4-Jarosite_i30e20a180	Refl_NH4-Jarosite_i30e40a180	Err_NH4-Jarosite_i30e40a180	Refl_NH4-Jarosite_i30e60a180	Err_NH4-Jarosite_i30e60a180	Refl_NH4-Jarosite_i30e70a180	Err_NH4-Jarosite_i30e70a180	Refl_NH4-Jarosite_i60e0a0	Err_NH4-Jarosite_i60e0a0	Refl_NH4-Jarosite_i60e20a0	Err_NH4-Jarosite_i60e20a0	Refl_NH4-Jarosite_i60e40a0	Err_NH4-Jarosite_i60e40a0	Refl_NH4-Jarosite_i60e70a0	Err_NH4-Jarosite_i60e70a0	Refl_NH4-Jarosite_i60e20a180	Err_NH4-Jarosite_i60e20a180	Refl_NH4-Jarosite_i60e40a180	Err_NH4-Jarosite_i60e40a180	Refl_NH4-Jarosite_i60e60a180	Err_NH4-Jarosite_i60e60a180	Refl_NH4-Jarosite_i60e70a180	Err_NH4-Jarosite_i60e70a180
500.000000	0.932087	0.000343	0.900403	0.000777	0.861951	0.000465	0.839035	0.000550	0.929453	0.000268	0.889959	0.000567	0.836534	0.000453	0.798328	0.000720	0.914496	0.000430	0.919931	0.000468	0.932501	0.000892	0.844371	0.000281	0.810221	0.000598	0.917885	0.000244	0.937689	0.000710	0.923382	0.000417	0.904122	0.000656	0.849430	0.000235	0.835351	0.000244	0.847334	0.000308	0.912702	0.000599	0.904391	0.000431	1.017822	0.000637	1.228198	0.000459	1.437472	0.001510	
510.000000	0.934437	0.000301	0.902241	0.000381	0.864543	0.000351	0.842945	0.000440	0.932913	0.000243	0.892811	0.000233	0.839263	0.000327	0.801510	0.000530	0.917712	0.000396	0.921811	0.000430	0.933483	0.000332	0.847208	0.000254	0.815105	0.000406	0.919680	0.000297	0.939696	0.000311	0.926302	0.000386	0.905794	0.000487	0.852813	0.000240	0.837626	0.000219	0.851366	0.000451	0.915255	0.000381	0.906651	0.000210	1.019662	0.000314	1.231547	0.001170	1.441513	0.001401	
520.000000	0.946011	0.000373	0.913255	0.000386	0.873632	0.000293	0.850860	0.000478	0.944481	0.000219	0.903217	0.000260	0.848225	0.000324	0.809153	0.000537	0.927204	0.000301	0.932615	0.000313	0.943640	0.000420	0.855758	0.000226	0.821334	0.000287	0.929989	0.000227	0.949052	0.000261	0.932910	0.000429	0.912979	0.000371	0.861463	0.000272	0.846484	0.000193	0.859028	0.000180	0.923135	0.000328	0.915754	0.000219	1.026995	0.000234	1.237713	0.000348	1.446378	0.002497	
530.000000	0.959214	0.000265	0.923699	0.000260	0.883855	0.000234	0.859991	0.000466	0.956826	0.000219	0.914583	0.000207	0.857703	0.000295	0.818494	0.000388	0.941907	0.000373	0.945373	0.000260	0.955557	0.000235	0.865074	0.000295	0.830403	0.000446	0.942710	0.000197	0.960755	0.000294	0.946206	0.000678	0.922273	0.000290	0.872765	0.000217	0.856842	0.000209	0.868092	0.000178	0.932232	0.000281	0.926814	0.000205	1.037473	0.000273	1.245940	0.000315	1.457012	0.001014	
540.000000	0.967069	0.000214	0.931773	0.000180	0.892914	0.000606	0.866333	0.000243	0.965394	0.000177	0.922372	0.000185	0.866858	0.000648	0.825566	0.000420	0.949999	0.000264	0.953274	0.000229	0.963568	0.000207	0.874709	0.000657	0.838893	0.000352	0.951019	0.000218	0.967488	0.000190	0.950854	0.000275	0.928291	0.000450	0.878847	0.000165	0.863482	0.000176	0.874898	0.000174	0.937160	0.000283	0.933312	0.000191	1.044955	0.000240	1.253086	0.000364	1.460143	0.001328	
550.000000	0.969281	0.000268	0.934489	0.000174	0.893386	0.000195	0.868762	0.000346	0.968242	0.000251	0.924540	0.000264	0.866676	0.000196	0.826034	0.000315	0.951978	0.000323	0.955117	0.000217	0.965291	0.000212	0.875230	0.000178	0.840543	0.000207	0.953169	0.000210	0.970171	0.000195	0.952304	0.000228	0.931347	0.000440	0.882156	0.000195	0.865585	0.000145	0.876916	0.000159	0.939239	0.000255	0.935457	0.000155	1.046523	0.000275	1.254085	0.000347	1.461776	0.001130	
560.000000	0.967609	0.000177	0.932072	0.000157	0.891201	0.000290	0.867004	0.000272	0.965636	0.000206	0.922818	0.000231	0.865048	0.000194	0.824837	0.000248	0.949857	0.000195	0.953105	0.000223	0.962640	0.000226	0.872530	0.000154	0.838249	0.000244	0.951315	0.000198	0.968286	0.000161	0.950203	0.000250	0.926677	0.000494	0.879794	0.000219	0.863420	0.000197	0.875437	0.000160	0.937911	0.000224	0.933279	0.000159	1.044814	0.000150	1.251678	0.000375	1.460278	0.000943	
570.000000	0.961654	0.000213	0.927563	0.000143	0.886683	0.000185	0.862326	0.000340	0.959791	0.000169	0.917442	0.000134	0.860530	0.000198	0.821026	0.000391	0.943824	0.000179	0.947371	0.000215	0.957537	0.000195	0.868157	0.000176	0.833961	0.000196	0.945177	0.000168	0.961951	0.000243	0.945649	0.000219	0.923166	0.000424	0.875040	0.000161	0.859051	0.000146	0.871016	0.000164	0.936704	0.000739	0.929006	0.000189	1.040473	0.000182	1.246910	0.000420	1.454238	0.000746	
580.000000	0.952807	0.000169	0.918960	0.000177	0.878611	0.000184	0.855743	0.000441	0.948670	0.000174	0.907744	0.000147	0.851766	0.000160	0.813023	0.000301	0.934328	0.000175	0.937977	0.000200	0.948227	0.000180	0.860274	0.000145	0.827843	0.000539	0.935408	0.000125	0.952657	0.000148	0.937896	0.000179	0.916044	0.000386	0.867039	0.000122	0.851478	0.000140	0.863108	0.000111	0.927953	0.000258	0.921187	0.000216	1.032665	0.000174	1.240270	0.000240	1.447595	0.000804	
590.000000	0.936637	0.000153	0.904402	0.000144	0.866463	0.000167	0.844200	0.000188	0.934646	0.000162	0.894429	0.000123	0.840410	0.000128	0.802608	0.000481	0.919425	0.000182	0.923326	0.000184	0.934834	0.000230	0.848848	0.000127	0.815514	0.000178	0.921803	0.000167	0.938886	0.000135	0.926292	0.000253	0.904581	0.000354	0.854328	0.000183	0.840170	0.000121	0.853554	0.000149	0.918439	0.000165	0.908643	0.000141	1.021930	0.000171	1.229335	0.000246	1.438069	0.000462	
